word,chars,log_freq,gpt2S_surp,gpt2B_surp,gpt2L_surp,mean_RT
complex.,8,4.86,-11.517657279968262,-9.088440895080566,-8.285460472106934,364.3285714285714
compression,11,3.82,-33.81365203857422,-23.823366165161133,-9.416046142578125,391.9577464788732
computerized,12,3.18,-30.43696403503418,-24.381654739379883,-15.71657943725586,450.34722222222223
"concert,",8,4.55,-11.32359790802002,-8.430699348449707,-11.90867805480957,382.64
concluded,9,4.35,-36.772483825683594,-28.77907371520996,-16.201345443725586,357.5241379310345
"conclusion,",11,4.4,-34.45272445678711,-28.23714828491211,-20.395662307739258,342.84285714285716
conclusions,11,4.0,-38.30186080932617,-29.879520416259766,-16.433635711669922,345.73333333333335
"condition,",10,4.86,-11.21635913848877,-7.816931247711182,-10.951593399047852,352.3312101910828
condition.,10,4.86,-11.101541519165039,-7.697770595550537,-10.63707160949707,372.7945205479452
conditions,10,4.98,-35.71138381958008,-22.13837242126465,-5.575013637542725,324.9086757990868
conducted,9,4.58,-20.88237190246582,-17.036518096923828,-6.400371551513672,338.7857142857143
confident,9,4.43,-27.607128143310547,-25.709550857543945,-8.24789810180664,295.2027027027027
confused,8,4.47,-25.393224716186523,-24.117431640625,-9.80446720123291,365.32142857142856
confusion,9,4.19,-36.63416290283203,-26.496856689453125,-15.981598854064941,351.8304347826087
conjectured,11,2.49,-44.269752502441406,-29.7559871673584,-23.828283309936523,381.20652173913044
considered,10,5.08,-40.37195587158203,-28.823196411132812,-8.420381546020508,393.65359477124184
considering,11,4.64,-20.992929458618164,-16.408302307128906,-3.295745372772217,319.24657534246575
conspiracy,10,4.26,-33.386497497558594,-29.879119873046875,-9.5225191116333,330.62666666666667
constituted,11,3.58,-34.39939880371094,-19.85005760192871,-16.067556381225586,365.0
consulted,9,3.63,-31.72620391845703,-24.332595825195312,-14.660213470458984,387.57142857142856
contamination,13,3.7,-41.281349182128906,-27.714698791503906,-14.015738487243652,370.2191780821918
contest,7,4.53,-25.504383087158203,-18.731454849243164,-14.161273956298828,328.54117647058825
contested.,10,3.77,-32.46593475341797,-23.590272903442383,-17.796588897705078,416.46666666666664
continuing,10,4.48,-34.92721176147461,-24.018211364746094,-6.805731296539307,346.22972972972974
"contract,",9,4.94,-11.590653419494629,-8.887657165527344,-11.51289176940918,364.4868421052632
contracted,10,3.89,-40.010353088378906,-27.229658126831055,-13.931760787963867,372.4078947368421
contracts,9,4.4,-15.24362564086914,-15.232144355773926,-6.811655044555664,364.7435897435897
controversial,13,4.23,-40.57716369628906,-28.520566940307617,-7.184284210205078,342.43243243243245
controversy,11,4.26,-29.56693458557129,-22.24671745300293,-7.340339183807373,357.88
convinced,9,4.4,-31.621952056884766,-19.685272216796875,-11.11489486694336,352.9759036144578
coordinated,11,3.79,-39.21194076538086,-24.617694854736328,-2.82185697555542,394.7323943661972
coot,4,2.5,-34.964561462402344,-26.407073974609375,-23.48320198059082,476.19565217391306
"coprolalia,",11,1.1,-42.71500015258789,-40.85965347290039,-34.511688232421875,504.9577464788732
corner,6,4.75,-25.28143882751465,-21.767284393310547,-11.918665885925293,316.1758241758242
corners,7,4.06,-23.494029998779297,-19.006853103637695,-10.298860549926758,313.1162790697674
"corpses,",8,3.5,-31.74296760559082,-23.287080764770508,-15.516351699829102,406.1917808219178
"cost,",5,5.24,-12.156593322753906,-9.34341812133789,-11.115376472473145,307.55263157894734
could've,8,4.06,-27.868398666381836,-19.294727325439453,-18.59160041809082,339.8
could.,6,6.06,-12.45152759552002,-10.106109619140625,-14.278778076171875,334.93548387096774
counter-argument,16,4.3,-32.52875900268555,-22.859851837158203,-14.40993881225586,407.84507042253523
countryside,11,3.92,-27.577255249023438,-27.203907012939453,-26.32920265197754,414.54761904761904
couple,6,5.19,-40.75351333618164,-31.035526275634766,-23.98799705505371,310.7848101265823
court.,6,5.41,-11.688794136047363,-8.2373046875,-7.085582733154297,368.6619718309859
cover-up,8,5.06,-24.535289764404297,-19.108858108520508,-15.323575973510742,319.0945945945946
cover-up.,9,5.06,-29.092180252075195,-23.401596069335938,-19.569534301757812,369.86486486486484
covering,8,4.45,-20.96767234802246,-16.784475326538086,-6.03309965133667,316.8333333333333
coveted,7,3.34,-37.209842681884766,-24.214298248291016,-24.880653381347656,346.2692307692308
"cozy,",5,3.64,-30.058557510375977,-26.471967697143555,-23.951568603515625,312.3375
crack,5,4.41,-25.46573257446289,-20.783126831054688,-10.02183723449707,321.0120481927711
craftsman.,10,3.22,-30.507823944091797,-28.930143356323242,-15.756839752197266,439.20512820512823
crash.,6,4.55,-24.735666275024414,-20.186174392700195,-12.470888137817383,383.37333333333333
crashed,7,4.04,-34.07627868652344,-23.875864028930664,-18.22361946105957,349.1801801801802
crashed.,8,4.04,-30.921165466308594,-23.843429565429688,-19.744003295898438,338.16438356164383
creative,8,4.6,-23.323562622070312,-17.078279495239258,-4.135745525360107,316.2530120481928
creature,8,4.16,-27.875934600830078,-18.65740394592285,-7.777919292449951,340.206106870229
credibility,11,3.88,-31.780378341674805,-22.954404830932617,-20.304426193237305,378.83561643835617
creeping,8,3.55,-38.19261169433594,-27.45119857788086,-10.36262321472168,362.59090909090907
crept,5,3.15,-27.721946716308594,-21.268251419067383,-10.88632869720459,338.5054945054945
crept.,6,3.15,-27.139387130737305,-27.90166664123535,-15.458572387695312,363.2386363636364
cried,5,4.19,-38.691890716552734,-27.68344497680664,-23.42671775817871,367.21158129175944
"cried,",6,4.19,-35.27900695800781,-26.928943634033203,-23.537553787231445,365.92836676217763
cried.,6,4.19,-34.90980911254883,-28.310562133789062,-24.1774959564209,295.18823529411765
critics,7,4.39,-30.427043914794922,-18.353763580322266,-6.5466628074646,375.6111111111111
"critics,",8,4.39,-28.178810119628906,-18.598167419433594,-10.639628410339355,315.9583333333333
crowd,5,4.7,-35.07503890991211,-29.401927947998047,-19.73320198059082,305.2837837837838
"crowd,",6,4.7,-33.32796859741211,-29.423017501831055,-24.275081634521484,303.94444444444446
crowds,6,3.87,-30.49960708618164,-26.273618698120117,-20.026683807373047,378.4805194805195
crying,6,4.56,-37.87937545776367,-28.205556869506836,-23.869003295898438,387.09090909090907
"cuckoo,",7,3.14,-36.217918395996094,-24.657466888427734,-22.529495239257812,409.14772727272725
"cultivated,",11,3.6,-36.34666442871094,-28.228713989257812,-18.051433563232422,410.13157894736844
cultivating,11,3.29,-40.53248596191406,-28.615615844726562,-20.119293212890625,388.9605263157895
cultivation,11,3.63,-37.543155670166016,-27.249004364013672,-14.514463424682617,418.8625
cunning,7,3.45,-38.711360931396484,-30.14063262939453,-26.13676643371582,324.9651162790698
"cunning,",8,3.45,-35.645565032958984,-28.785316467285156,-25.245336532592773,339.8670520231214
cunning.,8,3.45,-33.54594421386719,-28.53452491760254,-27.08277130126953,376.60227272727275
"curious,",8,4.45,-35.27081298828125,-27.510498046875,-23.095497131347656,324.8888888888889
curls,5,3.42,-26.753877639770508,-27.07815933227539,-23.900833129882812,347.69565217391306
curtain.,8,3.86,-31.45498275756836,-26.625225067138672,-17.381309509277344,353.7972972972973
curtains,8,3.66,-39.51025390625,-21.091947555541992,-19.564966201782227,319.4931506849315
curve,5,4.14,-24.654752731323242,-22.531204223632812,-8.563101768493652,323.0243902439024
"cut,",4,5.24,-12.498479843139648,-9.097318649291992,-9.701274871826172,305.3723404255319
cut.,4,5.24,-12.252976417541504,-9.655280113220215,-10.011466979980469,338.0869565217391
cute,4,4.65,-32.537940979003906,-24.019580841064453,-18.86366844177246,372.28395061728395
"cute,",5,4.65,-30.89952278137207,-24.03096580505371,-20.625856399536133,383.30120481927713
damn,4,5.09,-19.349246978759766,-18.271121978759766,-17.934280395507812,369.0860215053763
"damp,",5,3.62,-27.21858024597168,-26.18822479248047,-24.196022033691406,297.5934065934066
danced,6,3.68,-41.77872848510742,-30.60993766784668,-25.45170021057129,366.5735294117647
dank,4,3.26,-29.494300842285156,-24.10740852355957,-23.701072692871094,325.57142857142856
dared,5,3.52,-33.733978271484375,-26.588966369628906,-26.320667266845703,374.37640449438203
darkened,8,3.13,-31.403549194335938,-25.96639633178711,-12.784759521484375,329.85714285714283
darkness,8,4.3,-26.79880714416504,-21.14335060119629,-7.484368324279785,335.1333333333333
"darkness,",9,4.3,-25.018049240112305,-20.30145835876465,-11.406279563903809,346.0769230769231
dashing,7,3.27,-34.51982498168945,-27.1246280670166,-23.186155319213867,345.67391304347825
daughter.,9,5.07,-11.57275676727295,-8.850600242614746,-9.122230529785156,408.82666666666665
dawn,4,4.27,-33.47658157348633,-26.6361083984375,-19.666484832763672,285.72527472527474
"dawn,",5,4.27,-31.451196670532227,-25.795116424560547,-20.64155387878418,350.65060240963857
"day,",4,5.95,-11.659026145935059,-7.580931663513184,-9.07822036743164,320.9151376146789
day.,4,5.95,-11.475512504577637,-8.152877807617188,-9.314730644226074,412.1136363636364
daylights,9,2.39,-33.611534118652344,-34.915164947509766,-30.442995071411133,331.4431818181818
dead.,5,5.19,-11.50976276397705,-8.352426528930664,-9.010880470275879,436.34065934065933
deadly,6,4.16,-23.791160583496094,-18.54372787475586,-9.305442810058594,312.6
death-bed,9,4.9,-30.49106788635254,-25.21208953857422,-20.116609573364258,530.3472222222222
debris,6,3.92,-38.31162643432617,-31.433948516845703,-23.89313316345215,344.03678160919543
"debris,",7,3.92,-33.91849136352539,-28.495384216308594,-23.522859573364258,440.32
debts,5,3.99,-27.34976577758789,-22.83769416809082,-29.624855041503906,316.06666666666666
deceptively,11,2.84,-35.185760498046875,-27.86517906188965,-15.417388916015625,369.6219512195122
decide,6,4.78,-26.649185180664062,-21.479589462280273,-14.480219841003418,320.04545454545456
decided,7,5.09,-35.54888153076172,-25.322145462036133,-9.955940246582031,325.98719772403985
decision.,9,5.09,-30.409751892089844,-24.632946014404297,-12.179482460021973,325.2048192771084
declaring,9,3.82,-31.857025146484375,-23.555265426635742,-10.038168907165527,310.64473684210526
decree,6,3.82,-30.025163650512695,-25.638900756835938,-20.407058715820312,394.5263157894737
deepest,7,3.77,-25.675748825073242,-22.289133071899414,-8.458250045776367,371.04545454545456
deflated,8,2.9,-38.76891326904297,-28.82422637939453,-17.868064880371094,346.4266666666667
"dejectedly,",11,1.7,-41.73321533203125,-36.08624267578125,-25.145431518554688,440.5263157894737
demanded.,9,4.12,-33.571876525878906,-28.764436721801758,-22.603792190551758,315.0235294117647
demons,6,4.0,-29.182950973510742,-20.806201934814453,-14.412591934204102,361.53846153846155
demonstrably,12,2.78,-37.926475524902344,-30.436525344848633,-13.443619728088379,400.2916666666667
denied,6,4.43,-31.040176391601562,-23.444961547851562,-17.175920486450195,338.4698795180723
depression,10,4.56,-33.68334197998047,-24.393787384033203,-6.094042778015137,341.943661971831
descended,9,3.74,-28.616718292236328,-22.603801727294922,-13.06777286529541,356.0246913580247
"described,",10,5.0,-12.701026916503906,-10.347615242004395,-11.44753360748291,324.5263157894737
description.,12,4.73,-11.39542007446289,-7.500133037567139,-13.169953346252441,375.4189189189189
"desperate,",10,4.32,-35.08258819580078,-26.625810623168945,-12.223376274108887,337.4736842105263
desperately.,12,3.98,-37.13798904418945,-23.230113983154297,-18.9486083984375,342.28723404255317
despised,8,3.22,-35.55386734008789,-25.827335357666016,-13.142626762390137,389.7586206896552
despondently,12,1.51,-39.83994674682617,-27.4707088470459,-17.56667709350586,343.4945054945055
detect,6,4.05,-31.473234176635742,-24.19504165649414,-4.314488410949707,317.4
developmental,13,3.78,-20.341100692749023,-19.12236785888672,-11.881427764892578,393.31081081081084
deviate,7,3.06,-38.9477424621582,-29.257640838623047,-19.50428009033203,367.32911392405066
diagnosed,9,4.05,-34.69074249267578,-21.188796997070312,-4.505049228668213,380.7808219178082
diagnosis,9,4.2,-36.24326705932617,-22.159900665283203,-5.621423244476318,329.42723004694835
diagnosis.,10,4.2,-30.65337371826172,-20.657663345336914,-9.709005355834961,356.5642857142857
diagnostic,10,3.83,-36.74509048461914,-25.060083389282227,-2.852689504623413,351.50704225352115
didn't,6,5.68,-17.754732131958008,-7.696334362030029,-0.0016168716829270124,307.44354838709677
died,4,5.2,-31.52556610107422,-23.505847930908203,-19.49542808532715,302.88079470198676
different.,10,5.59,-11.86389446258545,-10.608777046203613,-10.999171257019043,344.6986301369863
difficult,9,5.07,-40.2331428527832,-25.458192825317383,-2.7197632789611816,312.3766233766234
difficulties,12,4.21,-37.94405746459961,-25.73965835571289,-6.579249382019043,357.4507042253521
dining,6,4.14,-32.961395263671875,-27.23195457458496,-24.731504440307617,360.37894736842105
directly,8,4.9,-23.71259307861328,-18.396961212158203,-6.020762920379639,327.7887323943662
dirt,4,4.24,-33.06558609008789,-27.031850814819336,-19.216325759887695,338.43333333333334
disabling,9,3.18,-36.54000473022461,-26.445709228515625,-16.163747787475586,343.95862068965516
disagreements,13,3.38,-26.67012596130371,-21.408058166503906,-21.662025451660156,368.50666666666666
disappear,9,4.09,-26.762981414794922,-19.39659309387207,-13.225481986999512,392.8421052631579
"disappear,",10,4.09,-29.5805606842041,-23.412765502929688,-17.411405563354492,371.79761904761904
disc',5,4.13,-19.010847091674805,-18.801774978637695,-25.103845596313477,381.77027027027026
discern,7,3.23,-31.056081771850586,-23.413904190063477,-17.403745651245117,303.1463414634146
discovered,10,4.74,-39.26969909667969,-28.32236671447754,-5.176405429840088,335.28389830508473
discrepancy,11,3.29,-38.707298278808594,-20.840320587158203,-13.568708419799805,345.97222222222223
discussions.,12,4.28,-32.34675598144531,-24.946382522583008,-13.0791597366333,871.6176470588235
"dismissively,",13,2.2,-47.16782760620117,-30.748430252075195,-28.642288208007812,379.3780487804878
disorder,8,4.31,-27.618019104003906,-22.47722816467285,-15.163966178894043,463.63513513513516
"disorder,",9,4.31,-26.859479904174805,-23.105712890625,-16.635723114013672,371.0425531914894
disorder.,9,4.31,-24.8397216796875,-23.52578353881836,-16.198863983154297,404.9850746268657
"disorders,",10,4.14,-29.34440803527832,-25.984397888183594,-18.88089942932129,350.9718309859155
disorders.,10,4.14,-27.58724594116211,-26.118892669677734,-18.2415771484375,338.4492753623188
"distance,",9,4.85,-12.149144172668457,-8.822647094726562,-10.780588150024414,339.0769230769231
distant,7,4.19,-40.26962661743164,-30.417821884155273,-27.862903594970703,349.5681818181818
"distinct,",9,4.29,-34.692527770996094,-28.027294158935547,-14.255393981933594,404.76056338028167
dizzy.,6,3.43,-32.195777893066406,-28.62885284423828,-25.54599952697754,365.2826086956522
doctors,7,4.55,-41.87428665161133,-33.607513427734375,-17.019948959350586,374.0567375886525
documents,9,4.64,-36.032432556152344,-27.149213790893555,-7.241908550262451,343.0
dominant,8,4.23,-43.19017791748047,-29.82402229309082,-9.355253219604492,441.0869565217391
don't,5,6.2,-18.26400375366211,-12.069987297058105,-2.845583438873291,368.55555555555554
door.,5,5.08,-11.590246200561523,-8.870831489562988,-8.68892765045166,331.59574468085106
doorway,7,3.51,-25.265806198120117,-24.62975311279297,-22.736783981323242,329.2926829268293
doorway.,8,3.51,-22.364458084106445,-23.189863204956055,-22.130693435668945,302.69879518072287
doubt,5,4.9,-39.92668533325195,-30.306564331054688,-25.44121742248535,329.55056179775283
"down,",5,5.88,-12.344069480895996,-8.663777351379395,-8.794272422790527,313.4136690647482
down.,5,5.88,-12.209318161010742,-9.089044570922852,-8.032382011413574,441.6463414634146
downtown,8,4.4,-40.431053161621094,-32.155250549316406,-24.851131439208984,482.505376344086
dramatic,8,4.41,-28.20244598388672,-19.144880294799805,-14.78845500946045,330.2083333333333
dramatically.,13,3.95,-35.533939361572266,-27.795249938964844,-22.566560745239258,329.75
drawing,7,4.58,-21.048095703125,-14.353371620178223,-5.363025188446045,340.60843373493975
dreaded!',9,3.35,-47.06798553466797,-44.191680908203125,-44.2743034362793,361.5764705882353
dreadful,8,3.66,-37.44751739501953,-32.7388801574707,-26.828266143798828,397.0111111111111
drew,4,4.46,-31.09082794189453,-28.355417251586914,-18.475330352783203,319.44
drink,5,4.9,-26.94863510131836,-21.20517921447754,-11.295872688293457,352.45882352941175
dropped,7,4.73,-32.37113571166992,-20.830188751220703,-1.1107053756713867,289.68674698795184
"drops,",6,4.33,-12.014303207397461,-8.029431343078613,-6.932506561279297,381.5625
dubious,7,3.49,-34.199462890625,-25.057209014892578,-17.23985481262207,386.19444444444446
dubiously.,10,2.09,-43.393592834472656,-33.18179702758789,-29.76564598083496,344.47058823529414
duck,4,4.21,-27.398696899414062,-22.40410804748535,-10.98935604095459,380.96590909090907
ducks,5,3.9,-34.493221282958984,-27.45456886291504,-16.966829299926758,331.60674157303373
ducks',6,3.9,-38.301631927490234,-29.452743530273438,-22.57128143310547,330.7173913043478
dug,3,3.86,-19.347007751464844,-17.887794494628906,-10.77673625946045,316.95604395604397
dull,4,3.94,-26.08047866821289,-22.814346313476562,-13.542241096496582,312.94565217391306
dummies,7,3.23,-41.04317855834961,-32.56256866455078,-26.658735275268555,401.48571428571427
"dust,",5,4.41,-11.822434425354004,-8.668292999267578,-7.854140281677246,328.2325581395349
"dying,'",7,4.63,-44.36714172363281,-38.215232849121094,-32.278995513916016,338.9010989010989
eagle,5,4.13,-38.65411376953125,-32.661556243896484,-25.229990005493164,355.53714285714284
eagle's,7,2.65,-40.84701156616211,-33.1492919921875,-27.601970672607422,362.1136363636364
"eagle,",6,4.13,-35.552635192871094,-30.175220489501953,-25.429288864135742,395.53714285714284
ear.,4,4.43,-12.221471786499023,-9.227784156799316,-10.046366691589355,322.3333333333333
earlier.,8,4.98,-32.64547348022461,-29.39345359802246,-23.660924911499023,383.51807228915663
earnest,7,3.66,-26.831287384033203,-24.877187728881836,-16.278844833374023,393.3625
"ears,",5,4.36,-12.533868789672852,-8.315509796142578,-7.556657314300537,318.2823529411765
"earth,",6,5.06,-12.374946594238281,-8.740873336791992,-7.7108941078186035,333.34520547945203
earth.,6,5.06,-11.727361679077148,-8.491996765136719,-7.179572582244873,369.23463687150837
"earthly,",8,3.32,-23.836883544921875,-21.309852600097656,-16.571678161621094,355.7
easily,6,4.91,-30.2152156829834,-21.257484436035156,-3.216461420059204,350.6388888888889
"echolalia,",10,1.43,-36.251060485839844,-29.135217666625977,-23.392993927001953,430.47222222222223
economists,10,3.76,-25.279529571533203,-19.268009185791016,-7.312572002410889,341.13157894736844
edge.',6,4.74,-28.35314178466797,-25.224613189697266,-23.233680725097656,329.5875
effectively.,12,4.49,-29.407766342163086,-25.060150146484375,-10.204506874084473,367.780487804878
"effects,",8,4.89,-11.612180709838867,-7.4242095947265625,-8.641312599182129,340.84057971014494
effort,6,4.92,-30.501113891601562,-22.815996170043945,-7.653202533721924,315.55405405405406
eighteen,8,3.81,-31.266908645629883,-26.825550079345703,-17.4769287109375,359.62820512820514
"eighth,",7,4.2,-39.393218994140625,-31.772642135620117,-26.745197296142578,510.49333333333334
eighties,8,3.22,-27.77079963684082,-23.674955368041992,-22.485910415649414,370.82608695652175
"eighty,",7,3.75,-36.26465606689453,-31.514881134033203,-28.517744064331055,417.16901408450707
eighty-six-year-old,19,3.73,-35.4466552734375,-31.91092872619629,-26.485740661621094,596.4444444444445
elderly,7,4.15,-33.2759895324707,-29.150043487548828,-20.87894630432129,339.0416666666667
"electroencephalograms,",22,0.0,-52.62207794189453,-35.71242141723633,-27.18943214416504,432.9718309859155
elephant,8,4.08,-40.41789245605469,-34.75652313232422,-15.765700340270996,317.85185185185185
"elephant,",9,4.08,-36.98042297363281,-32.254974365234375,-19.302656173706055,435.4691358024691
elevated,8,4.03,-32.1464729309082,-23.91128158569336,-19.14620018005371,372.02666666666664
emaciated,9,2.73,-38.4566535949707,-28.332752227783203,-24.595653533935547,526.1195652173913
emanate,7,2.51,-27.153186798095703,-22.995386123657227,-22.352846145629883,367.5
emerged,7,4.16,-30.936067581176758,-24.572410583496094,-8.496186256408691,383.31944444444446
"emerged,",8,4.16,-28.742021560668945,-25.29349136352539,-13.96882152557373,339.24657534246575
emptied,7,3.31,-31.32178497314453,-24.853776931762695,-18.1596736907959,363.44565217391306
encountered,11,4.06,-34.185428619384766,-27.659116744995117,-23.60942268371582,364.29761904761904
encouraged,10,4.32,-33.00679016113281,-17.224159240722656,-13.900164604187012,382.8809523809524
"encouraging,",12,4.14,-36.353477478027344,-21.334360122680664,-20.090835571289062,393.8658536585366
encouragingly,13,2.11,-41.27714538574219,-21.841615676879883,-19.091781616210938,334.46666666666664
"end,",4,5.68,-12.696619987487793,-9.091731071472168,-10.106124877929688,331.97333333333336
ended!',7,4.92,-35.17103576660156,-32.18901062011719,-31.625513076782227,313.26506024096386
"ended,",6,4.92,-12.104689598083496,-8.547059059143066,-9.717316627502441,320.3636363636364
enforce,7,3.96,-29.626001358032227,-30.094911575317383,-26.32726287841797,329.2077922077922
enforceable,11,3.02,-37.65687942504883,-29.47935676574707,-21.30059814453125,319.6756756756757
engaged,7,4.52,-30.903223037719727,-26.464250564575195,-14.667848587036133,332.5733333333333
enjoy,5,5.09,-33.393943786621094,-32.393733978271484,-28.225059509277344,287.2162162162162
enjoyed,7,4.59,-31.203794479370117,-28.40765953063965,-25.936931610107422,332.6
enormous,8,4.25,-37.38534927368164,-23.883392333984375,-19.13321876525879,329.6
"enough,",7,5.54,-11.851326942443848,-8.33522891998291,-8.48153305053711,345.7608695652174
entered,7,4.72,-32.414947509765625,-26.07688331604004,-16.14145851135254,326.28682170542635
entrance,8,4.39,-39.87522888183594,-31.48651123046875,-22.502742767333984,379.4021739130435
"enveloped,",10,2.92,-38.274375915527344,-35.15436553955078,-27.848058700561523,394.42857142857144
environmental,13,4.7,-19.413328170776367,-16.7181396484375,-4.148653984069824,343.84892086330933
erase,5,3.66,-31.632020950317383,-26.790790557861328,-25.88487434387207,328.0933333333333
estimated,9,4.62,-38.49261474609375,-30.704994201660156,-20.491056442260742,355.8904109589041
evening,7,4.86,-21.019336700439453,-17.722007751464844,-14.197782516479492,378.44565217391306
"evening,",8,4.86,-22.30600929260254,-19.56446075439453,-16.137563705444336,369.08677685950414
"evenings,",9,3.63,-27.510454177856445,-23.61860466003418,-20.60472297668457,301.3777777777778
"ever,",5,5.66,-12.275684356689453,-8.68770694732666,-8.936630249023438,317.18823529411765
"everybody,",10,4.84,-26.01702880859375,-26.161840438842773,-14.191404342651367,390.78723404255317
everyday,8,4.47,-23.974977493286133,-22.860387802124023,-6.436178684234619,399.8095238095238
evolved,7,4.09,-38.94911193847656,-29.186351776123047,-12.578107833862305,356.6901408450704
exalted,7,3.15,-40.6412239074707,-31.565284729003906,-17.346906661987305,392.0
examine,7,4.18,-34.41661071777344,-26.9771671295166,-14.879022598266602,325.81065088757396
"example,",8,5.27,-10.997956275939941,-5.990869045257568,-6.784833908081055,345.0365296803653
examples.,9,4.63,-32.92466354370117,-26.907306671142578,-12.209609985351562,339.26582278481015
excited,7,4.74,-33.78310012817383,-20.02128028869629,-4.223613262176514,364.77407407407406
excitedly,9,3.06,-38.02104949951172,-22.398229598999023,-10.984232902526855,366.68674698795184
excitement,10,4.19,-40.71857452392578,-24.735090255737305,-7.190776348114014,352.6986301369863
"exclaimed,",10,3.05,-32.802001953125,-31.41652488708496,-27.752412796020508,341.57142857142856
exclaimed.,10,3.05,-30.837099075317383,-31.664493560791016,-29.140165328979492,391.73493975903614
exhibit,7,4.16,-38.51874542236328,-31.504627227783203,-13.168231010437012,349.0
expectations,12,4.44,-30.66545867919922,-23.736913681030273,-14.154449462890625,325.1081081081081
"expected,",9,4.96,-12.069783210754395,-8.774291038513184,-9.983636856079102,389.7386363636364
expected.,9,4.96,-11.934261322021484,-8.851136207580566,-8.339929580688477,320.72
"expensive,",10,4.69,-11.542645454406738,-8.719264030456543,-7.571330547332764,406.1829268292683
experience,10,5.27,-33.680728912353516,-22.303260803222656,-3.785404920578003,354.8098591549296
experiences,11,4.55,-37.59515380859375,-25.471956253051758,-12.581180572509766,366.125
experimental,12,4.28,-38.65342330932617,-26.12255096435547,-4.9735517501831055,394.5068493150685
expertise,9,4.06,-40.00117111206055,-28.75749397277832,-13.757635116577148,340.8169014084507
explained,9,4.59,-36.48894119262695,-21.63605308532715,-7.840718746185303,326.94444444444446
"explanations,",13,3.76,-35.098976135253906,-29.473173141479492,-17.442832946777344,355.0
exposed,7,4.51,-35.08974075317383,-21.461868286132812,-6.624359607696533,317.36619718309856
expressed.,10,4.52,-29.12891387939453,-26.46207618713379,-17.407615661621094,379.8550724637681
"expression,",11,4.55,-11.108431816101074,-8.294624328613281,-7.5598578453063965,350.1290322580645
extended,8,4.64,-28.361711502075195,-21.4117374420166,-6.307246208190918,345.5753424657534
"extent,",7,4.47,-26.947776794433594,-20.335712432861328,-18.476547241210938,329.46835443037975
extra-terrestrial,17,3.47,-30.905576705932617,-24.272174835205078,-21.891965866088867,467.06756756756755
extraordinarily,15,3.42,-33.12872314453125,-21.200115203857422,-12.974749565124512,388.65
extraordinary,13,4.36,-30.580869674682617,-29.00876808166504,-7.287771701812744,305.55263157894734
extremities.,12,2.97,-35.99909591674805,-29.68720245361328,-27.49486541748047,391.6478873239437
eyes.,5,5.21,-11.242509841918945,-7.03770112991333,-7.955580711364746,334.6745098039216
"face,",5,5.45,-12.034276962280273,-7.894753456115723,-7.966451644897461,314.8793774319066
face.,5,5.45,-11.6486177444458,-8.416871070861816,-7.942742824554443,353.3103448275862
facial,6,4.1,-38.52537536621094,-30.149837493896484,-21.317258834838867,375.42657342657344
"fact,",5,5.41,-11.761675834655762,-7.640030384063721,-9.335078239440918,315.9066666666667
fact.,5,5.41,-11.68145751953125,-8.57907772064209,-10.262907028198242,350.0281690140845
facto,5,3.58,-22.263898849487305,-20.712881088256836,-17.57487678527832,459.27272727272725
factors,7,4.64,-26.777868270874023,-23.24078369140625,-5.597768783569336,335.0882352941176
failure.,8,4.72,-25.853103637695312,-20.85687828063965,-11.664003372192383,460.52
"fall,",5,5.13,-12.294604301452637,-8.555018424987793,-8.672645568847656,309.13186813186815
fallen,6,4.39,-21.474390029907227,-21.075647354125977,-12.795998573303223,313.5274725274725
falling,7,4.66,-20.9970645904541,-16.237041473388672,-8.784185409545898,374.98285714285714
"falls,",6,4.63,-11.84451961517334,-8.298179626464844,-7.012573719024658,308.032967032967
fame,4,4.34,-29.447904586791992,-24.277915954589844,-20.90813636779785,342.9378881987578
fame.,5,4.34,-26.558610916137695,-21.101539611816406,-20.75823211669922,318.2261904761905
families,8,4.94,-39.173404693603516,-25.165639877319336,-6.681018352508545,331.73972602739724
fanned,6,2.74,-35.369632720947266,-29.439838409423828,-20.273052215576172,340.34065934065933
faraway,7,2.99,-29.98641014099121,-28.021556854248047,-14.186042785644531,390.47727272727275
fashionably,11,2.49,-31.602079391479492,-26.221057891845703,-15.590361595153809,429.89772727272725
fear,4,4.95,-28.576730728149414,-25.654205322265625,-21.816192626953125,313.8181818181818
feared,6,3.94,-37.71503448486328,-30.649219512939453,-26.86809730529785,329.36046511627904
"feared,",7,3.94,-34.47471237182617,-29.300739288330078,-26.413331985473633,413.3191489361702
fears,5,4.17,-31.79090690612793,-27.732912063598633,-21.260150909423828,319.7613636363636
fearsome,8,3.05,-37.73530960083008,-26.564990997314453,-22.77981185913086,397.271676300578
feathers,8,3.79,-32.72687530517578,-24.653886795043945,-13.52888298034668,337.09090909090907
feathers.,9,3.79,-32.13572692871094,-26.34419822692871,-16.54947280883789,365.28409090909093
featuring,9,4.45,-32.67845153808594,-23.78714942932129,-17.885116577148438,345.2972972972973
fee.,4,4.51,-10.996554374694824,-7.640661239624023,-8.716336250305176,384.986301369863
feel.,5,5.67,-11.382584571838379,-9.140576362609863,-10.2098970413208,306.13698630136986
feeling,7,5.13,-36.27263641357422,-26.145891189575195,-12.859909057617188,305.40645161290325
"feet,",5,4.99,-11.988035202026367,-7.480350017547607,-7.144913673400879,408.021897810219
